iter	RMSE
0	75453.99717
1	72961.44415
2	70655.93345
3	68486.11167
4	66269.80704
5	64326.08727
6	62484.98869
7	60553.89042
8	58736.42111
9	57122.2727
10	55589.8357
11	54058.71882
12	52657.67821
13	51270.90075
14	50035.87834
15	48806.6974
16	47573.17956
17	46410.1162
18	45404.27277
19	44466.33691
20	43475.75096
21	42569.62583
22	41756.1377
23	40951.35103
24	40117.00524
25	39314.26923
26	38565.34241
27	37828.51249
28	37145.27292
29	36517.53639
30	35905.47292
31	35410.29369
32	34813.28666
33	34273.67745
34	33731.23447
35	33179.14471
36	32691.31487
37	32222.39388
38	31775.65901
39	31305.16107
40	30956.64798
41	30523.86357
42	30147.10295
43	29817.09467
44	29431.32844
45	29146.28012
46	28845.46083
47	28513.04145
48	28246.85206
49	28002.45717
50	27692.89577
51	27403.38044
52	27112.48867
53	26836.88644
54	26589.00021
55	26315.15909
56	26109.91122
57	25908.55909
58	25679.20886
59	25492.28224
60	25304.04321
61	25077.48876
62	24895.52013
63	24728.57459
64	24572.77415
65	24506.64306
66	24339.81795
67	24149.79331
68	24000.88062
69	23853.1956
70	23720.71953
71	23590.73299
72	23456.33182
73	23373.17097
74	23275.99089
75	23123.37039
76	22999.65804
77	22901.05119
78	22808.07149
79	22719.94183
80	22574.29837
81	22462.40934
82	22346.30759
83	22243.0596
84	22140.13566
85	22060.47655
86	21971.25021
87	21921.74732
88	21854.83096
89	21746.3562
90	21640.08012
91	21541.26446
92	21462.99112
93	21432.05173
94	21352.94643
95	21301.36741
96	21237.13664
97	21200.18718
98	21176.57828
99	21113.10832
100	21017.65856
101	20931.87543
102	20842.17533
103	20812.23234
104	20742.21297
105	20694.26926
106	20668.43113
107	20604.03936
108	20540.53376
109	20460.98984
110	20431.89949
111	20386.09696
112	20347.72681
113	20267.00392
114	20249.44809
115	20194.87842
116	20140.40286
117	20114.45505
118	20097.95973
119	20031.01338
120	19979.83556
121	19905.08812
122	19858.08305
123	19804.42015
124	19774.29285
125	19705.52059
126	19622.97392
127	19568.41481
128	19537.3862
129	19475.92148
130	19455.8805
131	19413.45592
132	19380.02004
