iter	Passed	Remaining
0	45	45005
1	74	37179
2	99	33200
3	125	31206
4	151	30123
5	176	29223
6	199	28285
7	223	27766
8	250	27632
9	278	27583
10	301	27126
11	326	26881
12	350	26600
13	375	26478
14	401	26337
15	429	26407
16	453	26226
17	477	26073
18	502	25954
19	527	25868
20	551	25726
21	577	25662
22	604	25671
23	630	25659
24	657	25633
25	681	25513
26	705	25439
27	729	25331
28	754	25255
29	782	25313
30	808	25274
31	835	25266
32	862	25270
33	887	25219
34	914	25215
35	941	25220
36	969	25228
37	994	25179
38	1020	25146
39	1043	25054
40	1071	25059
41	1097	25031
42	1124	25022
43	1152	25031
44	1176	24969
45	1201	24926
46	1226	24869
47	1253	24851
48	1276	24783
49	1303	24771
50	1330	24762
51	1355	24715
52	1380	24658
53	1405	24623
54	1431	24595
55	1456	24555
56	1482	24519
57	1506	24464
58	1530	24415
59	1555	24372
60	1580	24324
61	1604	24272
62	1628	24214
63	1652	24172
64	1677	24135
65	1703	24110
66	1728	24063
67	1752	24024
68	1777	23983
69	1803	23956
70	1831	23958
71	1858	23952
72	1883	23922
73	1909	23890
74	1934	23856
75	1958	23811
76	1984	23783
77	2008	23739
78	2032	23699
79	2056	23649
80	2081	23621
81	2107	23591
82	2131	23551
83	2156	23512
84	2181	23483
85	2208	23466
86	2234	23454
87	2258	23406
88	2271	23255
89	2298	23235
90	2322	23199
91	2348	23175
92	2374	23156
93	2383	22971
94	2408	22940
95	2433	22911
96	2457	22877
97	2481	22844
98	2510	22843
99	2534	22814
100	2561	22797
101	2595	22852
102	2619	22811
103	2644	22786
104	2668	22742
105	2693	22714
106	2718	22685
107	2743	22662
108	2767	22624
109	2792	22594
110	2818	22569
111	2834	22474
112	2861	22463
113	2892	22481
114	2918	22461
115	2945	22443
116	2970	22415
117	2979	22271
118	3005	22249
119	3033	22243
120	3059	22222
121	3084	22196
122	3112	22195
123	3139	22180
124	3164	22150
125	3191	22135
126	3219	22128
127	3247	22125
128	3275	22118
129	3301	22092
130	3316	21997
131	3343	21989
132	3367	21954
133	3395	21945
134	3422	21928
135	3447	21900
136	3472	21876
137	3496	21842
138	3524	21832
139	3550	21808
140	3575	21785
141	3598	21745
142	3623	21718
143	3648	21690
144	3673	21661
145	3699	21638
146	3723	21609
147	3749	21584
148	3776	21569
149	3802	21544
150	3830	21536
151	3861	21542
152	3887	21520
153	3910	21484
154	3937	21464
155	3964	21448
156	3989	21419
157	4013	21386
158	4038	21361
159	4063	21332
160	4087	21302
161	4111	21270
162	4138	21250
163	4164	21226
164	4191	21209
165	4214	21174
166	4240	21149
167	4263	21114
168	4290	21094
169	4314	21064
170	4339	21036
171	4362	21001
172	4388	20976
173	4411	20942
174	4436	20915
175	4461	20888
176	4491	20886
177	4517	20859
178	4540	20825
179	4567	20808
180	4593	20785
181	4618	20758
182	4643	20729
183	4667	20700
184	4693	20674
185	4718	20648
186	4742	20617
187	4767	20590
188	4791	20562
189	4818	20540
190	4842	20510
191	4868	20486
192	4891	20454
193	4917	20429
194	4940	20394
195	4965	20367
196	4992	20351
197	5019	20331
198	5043	20301
199	5068	20273
200	5092	20241
201	5119	20222
202	5146	20204
203	5171	20180
204	5197	20156
205	5222	20128
206	5247	20104
207	5273	20079
208	5298	20052
209	5323	20025
210	5348	19999
211	5372	19968
212	5398	19946
213	5422	19917
214	5447	19888
215	5471	19859
216	5496	19834
217	5529	19833
218	5553	19806
219	5578	19778
220	5601	19745
221	5627	19723
222	5652	19694
223	5677	19669
224	5702	19642
225	5727	19616
226	5752	19587
227	5777	19562
228	5802	19537
229	5828	19511
230	5852	19484
231	5878	19458
232	5902	19428
233	5927	19402
234	5951	19374
235	5977	19349
236	6000	19319
237	6026	19295
238	6057	19286
239	6081	19259
240	6106	19230
241	6130	19201
242	6156	19177
243	6180	19150
244	6206	19126
245	6230	19095
246	6255	19070
247	6278	19039
248	6304	19014
249	6328	18985
250	6356	18969
251	6383	18946
252	6408	18922
253	6433	18894
254	6458	18869
255	6482	18840
256	6508	18815
257	6531	18785
258	6556	18758
259	6587	18748
260	6612	18723
261	6641	18707
262	6667	18683
263	6693	18660
264	6718	18633
265	6742	18604
266	6765	18574
267	6792	18551
268	6816	18523
269	6840	18495
270	6864	18464
271	6889	18440
272	6913	18409
273	6938	18384
274	6962	18354
275	6987	18329
276	7012	18302
277	7037	18277
278	7061	18248
279	7087	18224
280	7117	18211
281	7141	18183
282	7166	18157
283	7191	18130
284	7216	18105
285	7240	18076
286	7266	18051
287	7291	18026
288	7316	17999
289	7340	17970
290	7365	17946
291	7390	17919
292	7415	17894
293	7441	17868
294	7466	17844
295	7491	17816
296	7527	17818
297	7552	17791
298	7576	17762
299	7601	17736
300	7633	17726
301	7658	17699
302	7683	17674
303	7708	17647
304	7734	17624
305	7757	17594
306	7783	17570
307	7808	17543
308	7833	17518
309	7859	17493
310	7892	17486
311	7918	17461
312	7942	17433
313	7967	17407
314	7991	17377
315	8016	17351
